from	to	score
XYLT2	B4GALT7	984
UQCRC1	DLD	924
UQCRC1	ATP5F1D	992
STX1B	SNAP29	936
PIGQ	PIGH	996
SUPT16H	CSNK2A1	981
HSD17B10	AGO2	906
AAAS	AGO2	901
ABCD1	GDAP1	915
MAPK1	TGFB1	937
DLD	GCDH	953
MAPK1	ERF	961
ITGA3	LAMB1	954
DLD	OGDH	998
ACO2	OGDH	944
SNAP29	STX1A	995
AAAS	GCK	900
SNAP29	GOSR2	901
PIGQ	PIGL	992
PIGH	PIGL	990
DLD	PDHX	999
OGDH	PDHX	978
CYP24A1	CYP27B1	925
AGO2	NUP107	901
GCK	NUP107	900
ACO2	TPI1	940
RALA	EXOC2	999
COL1A1	SPARC	989
USP18	EIF2AK2	967
ERCC1	MSH2	998
MLH1	MSH2	999
UQCRC1	NDUFS7	995
ATP5F1D	NDUFS7	994
ERCC1	MSH6	985
MLH1	MSH6	999
MSH2	MSH6	999
UQCRC1	NDUFB3	929
NDUFS7	NDUFB3	999
AAAS	CPSF3	907
NUP107	CPSF3	921
TGFB1	TGFB3	906
ABCD1	PEX16	965
GDAP1	PEX16	937
GCDH	ACADS	924
ATP5F1D	ATP5F1E	999
SPR	MCEE	916
SUPT16H	H4C5	973
PQBP1	ATXN1	939
BBS9	BBS2	999
ASNS	GOT2	961
ACO2	GOT2	947
TPI1	GOT2	971
BBS9	MKKS	969
BBS2	MKKS	985
COX15	COX6B1	900
UQCRC1	COX6B1	940
ATP5F1D	COX6B1	911
NDUFS7	COX6B1	905
EFNB1	RRAS	924
OTC	PMPCB	906
ATP5F1D	PMPCB	946
TUBGCP6	TUBG1	999
COL1A1	ADAMTS2	970
MAPK1	RAF1	989
CLCN6	RAF1	906
RRAS	RAF1	971
RAP1B	RAF1	914
UQCRC1	NDUFA2	930
ATP5F1D	NDUFA2	924
NDUFS7	NDUFA2	999
NDUFB3	NDUFA2	999
ATP5F1E	NDUFA2	985
COX6B1	NDUFA2	923
PON1	APOE	926
PLOD1	COLGALT1	950
UQCRC1	NDUFA10	983
DLD	NDUFA10	900
ATP5F1D	NDUFA10	970
ACO2	NDUFA10	902
NDUFS7	NDUFA10	999
NDUFB3	NDUFA10	999
COX6B1	NDUFA10	921
NDUFA2	NDUFA10	999
EIF2AK1	EIF2S3	958
EIF2AK2	EIF2S3	928
TARDBP	FUS	985
MRPS34	PTCD3	982
H4C5	H3-3A	998
DLL4	JAG1	941
STX1B	SNAP25	994
SNAP29	SNAP25	939
STX1A	SNAP25	999
COX15	SCO1	960
RALA	KRAS	928
EFNB1	KRAS	920
MAPK1	KRAS	989
SOS2	KRAS	962
RAF1	KRAS	999
AAAS	IPO8	902
AGO2	IPO8	966
NUP107	IPO8	931
RAF1	RRAS2	993
ATIC	AMPD2	918
RAP1B	KIDINS220	903
RARS1	NARS1	937
H4C5	DDB2	925
MAPK1	HNF1A	905
B9D2	TMEM231	991
GOSR2	COG3	908
COPB1	COG3	915
COPB1	KDELR2	929
APOE	SORL1	995
NDUFS7	NDUFAF1	988
NDUFB3	NDUFAF1	946
NDUFA2	NDUFAF1	951
NDUFA10	NDUFAF1	959
TUBGCP6	TUBGCP4	999
TUBG1	TUBGCP4	998
IFT81	IFT172	995
TRIP13	KIF11	908
TUBB2B	KIF11	923
LAMB1	CHRNA1	904
STX1B	SYT1	900
SLC32A1	SYT1	952
STX1A	SYT1	999
SNAP25	SYT1	999
FKTN	RXYLT1	908
UBE3A	PSMC1	905
ODC1	PSMC1	904
ARSA	GALC	965
B4GALT7	XYLT1	983
AGO2	NUP133	900
GCK	NUP133	900
NUP107	NUP133	999
CPSF3	NUP133	908
IPO8	NUP133	925
B9D2	B9D1	988
TMEM231	B9D1	991
FKTN	POMT2	950
UBE3A	HERC2	913
COX15	COX10	997
SCO1	COX10	917
ZFYVE26	TTC19	948
NARS1	AARS1	989
CARS2	AARS1	908
FIG4	VAC14	999
PIK3R2	PDGFRB	928
KRAS	PDGFRB	959
MAPK1	GNB5	923
AP4S1	AP4E1	998
ZFYVE26	SPG11	964
MTFMT	MARS1	943
RARS1	MARS1	999
AARS1	MARS1	967
H4C5	KMT2C	961
ODC1	PSMB1	902
PSMC1	PSMB1	999
DDB2	YY1	904
H4C5	CREBBP	984
MYOD1	CREBBP	994
HNF1A	CREBBP	983
YY1	CREBBP	987
TAF4	KANSL1	902
DAO	MLYCD	909
MAPK1	GNAO1	940
GNB5	GNAO1	943
CREBBP	SRCAP	959
PROKR2	ANOS1	902
MAPK1	MAP2K2	999
RAF1	MAP2K2	997
KRAS	MAP2K2	964
DLD	DHTKD1	971
GCDH	DHTKD1	958
ASNS	ASPA	909
GOT2	ASPA	912
ACTL6B	SMARCB1	986
CREBBP	SMARCB1	963
RNF125	UFD1	911
H3-3A	HIRA	957
LMNB1	HIRA	908
AGO2	DGCR8	967
TGFB1	EP300	932
CTSD	EP300	914
H4C5	EP300	974
SOX9	EP300	991
MYOD1	EP300	999
KRAS	EP300	941
HNF1A	EP300	957
TTC5	EP300	991
RORA	EP300	906
KMT2C	EP300	976
YY1	EP300	999
CREBBP	EP300	996
SRCAP	EP300	941
KRAS	GRIN2D	915
H4C5	EED	906
KMT2C	EED	941
YY1	EED	976
EP300	EED	927
KRAS	SPTBN4	905
H4C5	BRD4	997
EP300	BRD4	934
AGO2	NOTCH3	912
DLL4	NOTCH3	956
JAG1	NOTCH3	984
ST3GAL3	NOTCH3	903
NDUFAF1	FOXRED1	957
OTUD5	IFIH1	938
RNF125	IFIH1	968
UQCRC1	NDUFS3	987
ATP5F1D	NDUFS3	979
NDUFS7	NDUFS3	999
NDUFB3	NDUFS3	998
COX6B1	NDUFS3	918
NDUFA2	NDUFS3	999
NDUFA10	NDUFS3	999
NDUFAF1	NDUFS3	999
FOXRED1	NDUFS3	908
VPS4A	CHMP2B	972
TUBB2B	CHMP2B	901
POLR3B	POLR1A	993
EFNB1	PIK3CA	904
PIK3R2	PIK3CA	999
LAMB1	PIK3CA	908
RAP1B	PIK3CA	923
RAF1	PIK3CA	914
KRAS	PIK3CA	999
PDGFRB	PIK3CA	961
MAP2K2	PIK3CA	947
STAG2	CTCF	991
EP300	CTCF	944
TCN2	CBL	984
PIK3R2	CBL	978
RAP1B	CBL	907
PDGFRB	CBL	980
PIK3CA	CBL	972
CHMP2B	TUBB4A	901
RRM2B	DGUOK	916
RARS1	DARS1	999
AARS2	DARS1	928
AARS1	DARS1	956
MARS1	DARS1	999
MAPK1	YWHAE	953
LAMB1	YWHAE	902
RAF1	YWHAE	991
KRAS	YWHAE	942
MAP2K2	YWHAE	943
SPR	PRKG2	903
KRAS	PRKG2	916
BBS9	BBS7	999
BBS2	BBS7	999
MKKS	BBS7	982
AAAS	HDAC4	903
NUP107	HDAC4	907
NUP133	HDAC4	902
EP300	HDAC4	903
YWHAE	HDAC4	988
ATP7B	CP	921
ATP6V1E1	ATP6V0A1	990
EFNB1	STAT3	930
MAPK1	STAT3	996
TGFB1	STAT3	963
EIF2AK2	STAT3	982
MYOD1	STAT3	966
LRPPRC	STAT3	901
RORA	STAT3	937
PDGFRB	STAT3	982
CREBBP	STAT3	995
MAP2K2	STAT3	925
EP300	STAT3	999
PIK3CA	STAT3	950
ASNS	CAD	957
GOT2	CAD	930
ASPA	CAD	900
AHCY	DNMT3A	936
H3-3A	DNMT3A	942
LRPPRC	PPARGC1A	981
YY1	PPARGC1A	999
CREBBP	PPARGC1A	984
EP300	PPARGC1A	992
AGO2	NUP54	900
GCK	NUP54	900
NUP107	NUP54	975
CPSF3	NUP54	912
IPO8	NUP54	914
NUP133	NUP54	954
HDAC4	NUP54	911
UQCRC1	SDHA	977
ACO2	SDHA	961
OGDH	SDHA	960
NDUFS3	SDHA	962
ERCC1	ERCC8	969
MSH2	ERCC8	927
MSH6	ERCC8	919
DDB2	ERCC8	942
RRAS	SEMA3A	950
B4GALT7	B3GAT3	921
RORA	CPT1A	904
CREBBP	CPT1A	904
EP300	CPT1A	912
PPARGC1A	CPT1A	972
ACTL6B	SMARCA2	986
SMARCB1	SMARCA2	999
HSD17B10	ACAT1	935
ACADS	ACAT1	976
MLYCD	ACAT1	925
ERCC1	PMS2	907
MLH1	PMS2	999
MSH2	PMS2	999
MSH6	PMS2	999
EIF2S3	EIF2B2	999
STX1A	CACNA1C	945
SNAP25	CACNA1C	955
GNB5	CACNA1C	903
UQCRC1	NDUFA9	995
DLD	NDUFA9	921
NDUFS7	NDUFA9	999
NDUFB3	NDUFA9	999
COX6B1	NDUFA9	919
PMPCB	NDUFA9	923
NDUFA2	NDUFA9	999
NDUFA10	NDUFA9	999
NDUFAF1	NDUFA9	951
NDUFS3	NDUFA9	999
SDHA	NDUFA9	965
ACTL6B	SMARCC2	977
SUPT16H	SMARCC2	961
CREBBP	SMARCC2	937
SMARCB1	SMARCC2	999
SMARCA2	SMARCC2	999
MAPK1	RB1	941
COL1A1	RB1	907
RAF1	RB1	990
RBL2	RB1	906
CREBBP	RB1	951
HIRA	RB1	902
EP300	RB1	990
SMARCA2	RB1	938
BBS9	BBS4	999
BBS2	BBS4	999
MKKS	BBS4	968
BBS7	BBS4	999
HEXB	HEXA	988
UQCRC1	NDUFB10	973
ATP5F1D	NDUFB10	973
NDUFS7	NDUFB10	999
NDUFB3	NDUFB10	999
COX6B1	NDUFB10	955
NDUFA2	NDUFB10	999
NDUFA10	NDUFB10	999
NDUFAF1	NDUFB10	970
NDUFS3	NDUFB10	999
NDUFA9	NDUFB10	999
PMPCB	SPG7	960
CREBBP	CDH2	958
PIK3CA	CDH2	946
PMPCB	AFG3L2	965
RFC2	TP53	921
